,word,pola,극성
133,랑화/NNG,0.51299269243,N
134,마케팅/NNG,0.407248959,N
135,생산/NNG;호조/NNG;상승/NNG,0.409534154746,N
137,주택시장/NNG;악화/NNG,0.4291602538,N
138,영업이익/NNG;증가/NNG,0.354717875101,N
139,제적/NNG,0.392762971679,N
140,심리/NNG;하락/NNG,0.340248698979,N
141,내구재/NNG;판매가격/NNG;증가/NNG,0.39741111357,N
142,경기/NNG;물가/NNG;상승/NNG;압력/NNG,0.353932170601,N
143,역송금/NNG,0.406339234089,N
144,방치/NNG,0.356807973872,N
145,성실/NNG,0.430543931155,N
146,금리/NNG;인하/NNG;경기/NNG;진작/NNG,0.405634084037,N
147,고가/NNG,0.405998945564,N
148,완화정책/NNG;강화/NNG,0.533978013397,N
149,초과유동성/NNG,0.305342280663,N
153,수출기업/NNG;가격/NNG;경쟁력/NNG;약화/NNG,0.423882916507,N
154,경제/NNG;인플레이션/NNG;위험/NNG,0.389334410933,N
155,예상/NNG;세계/NNG;경제/NNG;회복/NNG,0.430086036667,N
156,경감/NNG,0.482479371665,N
157,식료품/NNG;가격/NNG;상승/NNG,0.357627372774,N
158,지난번/NNG,0.365414247628,N
159,국채/NNG;수요/NNG;감소/NNG,0.412114425577,N
160,원자재/NNG;수요/NNG;둔화/NNG,0.453067284572,N
161,여하/NNG,0.368563138894,N
162,투자자금/NNG;유입/NNG;증가/NNG,0.37875334338,N
163,실물/NNG;경제/NNG;충격/NNG,0.402127439136,N
164,분산/NNG,0.409852696978,N
165,지수/NNG;개선/NNG,0.425875145246,N
166,한미/NNG;금리갭/NNG;축소/NNG,0.391875530525,N
167,연체율/NNG;소폭/MAG;상승/NNG,0.489627394351,N
168,성숙/NNG,0.368434882708,N
169,근본/NNG,0.359818216772,N
170,요금/NNG;오르/VV,0.387467086038,N
171,협력업체/NNG,0.450672500369,N
172,단기/NNG;시장/NNG;금리/NNG;인하/NNG,0.391071159405,N
173,공급측면/NNG;물가/NNG;상승/NNG;압력/NNG,0.46830373328,N
174,부동층/NNG,0.432048485858,N
175,우려/NNG;반영/NNG;금리/NNG;인하/NNG,0.400036796877,N
176,비스/NNG,0.375587789084,N
177,특유/NNG,0.38204360679,N
178,양호/NNG;금리/NNG;인상/NNG,0.453118288376,N
179,정지/NNG,0.383733731592,N
180,fx스왑/NNG,0.514975249638,N
181,하락/NNG;정반대/NNG,0.471870349597,N
182,미리/MAG,0.481085925834,N
183,압도/NNG,0.348317466597,N
184,반응도/NNG,0.44052595452,N
185,부채/NNG;상환/NNG;부담/NNG;증대/NNG,0.433372410884,N
186,만드/VV,0.366886266826,N
187,잠재/NNG;성장률/NNG;경기/NNG;회복/NNG,0.350107210577,N
188,하락/NNG;생산/NNG;감소/NNG,0.451823140374,N
189,당폭/NNG,0.373845795547,N
190,물가/NNG;불안/NNG,0.385310733321,N
191,판매가격/NNG;부진/NNG,0.371022737557,N
192,지표/NNG;하락/NNG,0.414105370821,N
193,마이너스대출/NNG,0.417427275707,N
194,정후/NNG,0.305620367952,N
195,한미/NNG,0.485599180489,N
196,국채/NNG;안전자산/NNG;선호/NNG;약화/NNG,0.399257755326,N
197,가산/NNG,0.4085625151,N
198,불안/NNG;해소/NNG,0.396522078711,N
199,총액/NNG;한도/NNG;대출/NNG;한도/NNG;축소/NNG,0.397379826112,N
200,은행채/NNG;금리/NNG;오르/VV,0.352945960601,N
201,인상/NNG;국제/NNG;원자재/NNG;가격/NNG;상승/NNG,0.434425525816,N
202,지나치/VA;낙관론/NNG;경계/NNG,0.358809183329,N
203,세계/NNG;경제/NNG;위축/NNG,0.741722582671,N
204,잉여/NNG,0.343726283776,N
205,성장/NNG;수출/NNG;부진/NNG,0.42705022194,N
206,농산물/NNG;가격/NNG;급등/NNG,0.373581048915,N
207,인플레이션/NNG;우려/NNG;급등/NNG,0.715253928665,N
208,금리/NNG;인하/NNG;금리/NNG;인하/NNG,0.378386954944,N
209,금리/NNG;인상/NNG;국제/NNG;금융시장/NNG;불안/NNG,0.459971169299,N
210,외식비/NNG,0.313221172774,N
211,금리/NNG;하락/NNG;우려/NNG,0.408877586156,N
212,수익성/NNG;떨어/VV,0.450636620653,N
213,회복/NNG;경기/NNG;상승/NNG,0.362408539247,N
214,가격/NNG;변동성/NNG;축소/NNG,0.413551991129,N
215,유로존/NNG;재정위기/NNG;불안/NNG,0.445446588459,N
216,불안/NNG;부정적/VAX,0.429659192036,N
217,불안/NNG;성장/NNG;둔화/NNG,0.424574590731,N
218,떠올리/VV,0.430582035441,N
219,자릿/MAG,0.421159245119,N
220,금리/NNG;빨리/MAG;인상/NNG,0.361865423544,N
221,소비자/NNG;물가/NNG;상승률/NNG;웃돌/VV,0.397712316452,N
223,단기물/NNG;금리/NNG;하락/NNG,0.375235936464,N
224,전역/NNG,0.401113212365,N
227,금융시장/NNG;금리/NNG;상승/NNG,0.35968526125,N
228,연불/NNG,0.420518816446,N
229,국과/NNG,0.550865386639,N
230,무난/NNG,0.447459251599,N
231,당연히/MAG,0.37328643414,N
232,안정/NNG;경상/NNG;수지/NNG;흑자/NNG,0.361483781926,N
234,기제/NNG,0.406733667509,N
235,실물/NNG;경기/NNG;불확실성/NNG,0.474815387531,N
237,유가/NNG;곡물/NNG;가격/NNG;급등/NNG,0.27303623612,N
238,지적재산권/NNG,0.398214520458,N
239,직거래/NNG,0.369993844582,N
240,주택담보대출/NNG;억제/NNG,0.364214626756,N
241,만장일치/NNG,0.677311380385,N
242,유동성/NNG;개선/NNG;경기/NNG;과도/NNG;위축/NNG,0.484310271746,N
243,건전화/NNG,0.283402525461,N
244,망기/NNG,0.419505737426,N
