박성중,,,,NNP,인명,F,박성중,*,*,*,*,*
김현미,,,,NNP,인명,T,김현미,*,*,*,*,*
김병욱,,,,NNP,인명,F,김병욱,*,*,*,*,*
우상호,,,,NNP,인명,T,우상호,*,*,*,*,*
박범계,,,,NNP,인명,T,박범계,*,*,*,*,*
심재철,,,,NNP,인명,F,심재철,*,*,*,*,*
홍익표,,,,NNP,인명,T,홍익표,*,*,*,*,*
유성엽,,,,NNP,인명,F,유성엽,*,*,*,*,*
주승용,,,,NNP,인명,F,주승용,*,*,*,*,*
전재수,,,,NNP,인명,T,전재수,*,*,*,*,*
유재중,,,,NNP,인명,F,유재중,*,*,*,*,*
전현희,,,,NNP,인명,T,전현희,*,*,*,*,*
홍철호,,,,NNP,인명,T,홍철호,*,*,*,*,*
최교일,,,,NNP,인명,F,최교일,*,*,*,*,*
김두관,,,,NNP,인명,F,김두관,*,*,*,*,*
박경미,,,,NNP,인명,T,박경미,*,*,*,*,*
전희경,,,,NNP,인명,F,전희경,*,*,*,*,*
최경환,,,,NNP,인명,F,최경환,*,*,*,*,*
최도자,,,,NNP,인명,T,최도자,*,*,*,*,*
정양석,,,,NNP,인명,F,정양석,*,*,*,*,*
정유섭,,,,NNP,인명,F,정유섭,*,*,*,*,*
송영길,,,,NNP,인명,F,송영길,*,*,*,*,*
최연혜,,,,NNP,인명,T,최연혜,*,*,*,*,*
안민석,,,,NNP,인명,F,안민석,*,*,*,*,*
송언석,,,,NNP,인명,F,송언석,*,*,*,*,*
곽대훈,,,,NNP,인명,F,곽대훈,*,*,*,*,*
박지원,,,,NNP,인명,F,박지원,*,*,*,*,*
설훈,,,,NNP,인명,F,설훈,*,*,*,*,*
주광덕,,,,NNP,인명,F,주광덕,*,*,*,*,*
천정배,,,,NNP,인명,T,천정배,*,*,*,*,*
김재원,,,,NNP,인명,F,김재원,*,*,*,*,*
이해찬,,,,NNP,인명,F,이해찬,*,*,*,*,*
박대출,,,,NNP,인명,F,박대출,*,*,*,*,*
우원식,,,,NNP,인명,F,우원식,*,*,*,*,*
조승래,,,,NNP,인명,T,조승래,*,*,*,*,*
백혜련,,,,NNP,인명,F,백혜련,*,*,*,*,*
이용주,,,,NNP,인명,T,이용주,*,*,*,*,*
김철민,,,,NNP,인명,F,김철민,*,*,*,*,*
이종배,,,,NNP,인명,T,이종배,*,*,*,*,*
안상수,,,,NNP,인명,T,안상수,*,*,*,*,*
하태경,,,,NNP,인명,F,하태경,*,*,*,*,*
위성곤,,,,NNP,인명,F,위성곤,*,*,*,*,*
김무성,,,,NNP,인명,F,김무성,*,*,*,*,*
김종민,,,,NNP,인명,F,김종민,*,*,*,*,*
신상진,,,,NNP,인명,F,신상진,*,*,*,*,*
송갑석,,,,NNP,인명,F,송갑석,*,*,*,*,*
금태섭,,,,NNP,인명,F,금태섭,*,*,*,*,*
